epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.083000000,2.318775921,0.099733917,0.254
1,1.634479688,0.881000000,1.196846397,0.330090161,2.490
2,1.005498287,0.930500000,0.824532427,0.478095192,4.730
3,0.735155951,0.946500000,0.634922210,0.572652031,6.987
4,0.585049780,0.959000000,0.521442186,0.635200696,9.229
5,0.489365550,0.964500000,0.445714257,0.679272017,11.464
6,0.422518760,0.969000000,0.390962915,0.712659270,13.710
7,0.372955549,0.973000000,0.349916177,0.738513351,15.951
8,0.334800205,0.976000000,0.317261294,0.759919297,18.191
9,0.304233982,0.977000000,0.290953093,0.777347953,20.433
10,0.279345292,0.979000000,0.269031565,0.792206772,22.686
11,0.258447580,0.979500000,0.250491234,0.805056615,24.923
12,0.240762982,0.983500000,0.234983061,0.815748985,27.162
13,0.225570618,0.983500000,0.221340665,0.825409889,29.403
14,0.212322980,0.983500000,0.209460820,0.833881244,31.646
15,0.200662436,0.984500000,0.198981314,0.841427050,33.892
16,0.190373873,0.986000000,0.189774049,0.848106759,36.145
17,0.181185073,0.987000000,0.181449504,0.854213388,38.416
18,0.172888640,0.986500000,0.174046663,0.859687946,40.630
19,0.165404091,0.987500000,0.167482052,0.864516328,42.808
20,0.158611818,0.987500000,0.161195619,0.869201158,45.035
21,0.152392043,0.987500000,0.155563377,0.873459960,47.269
22,0.146688268,0.988500000,0.150421957,0.877293724,49.455
23,0.141448843,0.988500000,0.145630488,0.880943251,51.637
24,0.136579990,0.988000000,0.140924129,0.884558362,53.821
25,0.132082295,0.989000000,0.136891352,0.887628020,56.002
26,0.127917480,0.989000000,0.133081191,0.890555011,58.193
27,0.124014043,0.989500000,0.129452367,0.893321813,60.405
28,0.120350916,0.989500000,0.126069327,0.895948486,62.639
29,0.116942213,0.989500000,0.122956773,0.898356128,64.870
30,0.113731939,0.989500000,0.119984338,0.900657855,67.119
31,0.110697738,0.990000000,0.117135855,0.902910533,69.358
32,0.107850892,0.990000000,0.114530195,0.904913562,71.550
33,0.105157372,0.990000000,0.111956963,0.906923405,73.739
34,0.102599572,0.990500000,0.109824812,0.908596548,75.948
35,0.100200168,0.990500000,0.107364986,0.910555285,78.163
36,0.097899400,0.990500000,0.105280092,0.912197725,80.394
37,0.095715431,0.990500000,0.103218893,0.913833282,82.599
38,0.093622202,0.991500000,0.101279236,0.915375120,84.791
39,0.091651598,0.990500000,0.099515501,0.916765680,86.984
40,0.089765452,0.991000000,0.097636563,0.918254671,89.173
41,0.087945304,0.991000000,0.096043096,0.919511380,91.410
42,0.086225768,0.991500000,0.094317027,0.920910916,93.650
43,0.084568169,0.990500000,0.092802241,0.922114679,95.869
44,0.082986898,0.990500000,0.091419583,0.923235062,98.108
45,0.081463685,0.990500000,0.089915849,0.924439614,100.331
46,0.079993940,0.990500000,0.088595585,0.925520865,102.555
47,0.078594375,0.991000000,0.087260699,0.926584199,104.794
48,0.077238747,0.991000000,0.085957457,0.927630204,107.035
49,0.075936246,0.990500000,0.084745222,0.928619277,109.277
50,0.074674304,0.991000000,0.083580502,0.929542828,111.519
51,0.073453322,0.991500000,0.082480772,0.930450024,113.761
52,0.072297271,0.991500000,0.081412382,0.931312177,115.993
53,0.071167035,0.991000000,0.080223041,0.932269477,118.222
54,0.070080209,0.991000000,0.079202715,0.933104696,120.466
55,0.069020300,0.991000000,0.078213289,0.933913061,122.711
56,0.067991168,0.991500000,0.077317622,0.934636818,124.950
57,0.067008864,0.991500000,0.076321100,0.935440959,127.190
58,0.066053979,0.992000000,0.075449083,0.936167556,129.409
59,0.065124327,0.992000000,0.074517894,0.936914508,131.646
60,0.064225167,0.992000000,0.073678925,0.937604561,133.868
61,0.063353852,0.992500000,0.072912424,0.938232121,136.080
62,0.062499438,0.992500000,0.072111159,0.938880379,138.324
63,0.061672938,0.992500000,0.071269640,0.939583756,140.544
64,0.060883816,0.992500000,0.070545794,0.940169712,142.778
65,0.060102484,0.993000000,0.069768710,0.940800583,144.999
66,0.059342046,0.993000000,0.069028221,0.941405660,147.226
67,0.058604825,0.993000000,0.068352516,0.941960127,149.438
68,0.057891748,0.993000000,0.067670926,0.942526485,151.670
69,0.057188543,0.993000000,0.067044340,0.943050060,153.882
70,0.056510508,0.993000000,0.066337338,0.943621432,156.096
71,0.055848889,0.993000000,0.065730119,0.944114167,158.325
72,0.055197457,0.993000000,0.065093098,0.944646935,160.558
73,0.054572246,0.993000000,0.064485345,0.945133642,162.804
74,0.053959346,0.993000000,0.063889749,0.945630366,165.035
75,0.053360053,0.993000000,0.063328304,0.946104408,167.254
