epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.081500000,2.334330604,0.098303040,0.254
1,1.676073954,0.763500000,1.266984023,0.314751631,2.149
2,1.117380545,0.807000000,0.938204645,0.447582704,4.055
3,0.895094299,0.823000000,0.780902554,0.526472989,5.958
4,0.777889102,0.833500000,0.689850501,0.576959790,7.867
5,0.705207155,0.839500000,0.630730323,0.612024165,9.773
6,0.655203759,0.843500000,0.588956489,0.637496029,11.671
7,0.618752176,0.848000000,0.557411269,0.657122046,13.575
8,0.590389455,0.850500000,0.533061139,0.672249988,15.480
9,0.567875252,0.851500000,0.513579087,0.685620114,17.386
10,0.548998118,0.855500000,0.497742088,0.695447353,19.297
11,0.533240459,0.856500000,0.484462120,0.705015263,21.200
12,0.519710907,0.859500000,0.472998440,0.711910290,23.111
13,0.507795509,0.862000000,0.463524863,0.718958438,25.016
14,0.497536061,0.862500000,0.454780450,0.724931865,26.918
15,0.488245025,0.862000000,0.447317222,0.730064433,28.819
16,0.479877871,0.868000000,0.440699232,0.733843197,30.722
17,0.472267721,0.866000000,0.434851771,0.738840918,32.631
18,0.465325940,0.867500000,0.429204363,0.742387681,34.533
19,0.459129399,0.869000000,0.424483825,0.745455119,36.449
20,0.453223584,0.869500000,0.419613332,0.748830870,38.384
21,0.447645304,0.870000000,0.416191998,0.751686004,40.291
22,0.442602306,0.871500000,0.411895904,0.754222386,42.191
23,0.437852046,0.871000000,0.408824537,0.757871920,44.062
24,0.433450120,0.871500000,0.405437920,0.759260511,45.904
25,0.429315912,0.874000000,0.402371837,0.761596183,47.787
26,0.425430144,0.873500000,0.399590462,0.763291829,49.677
27,0.421572264,0.873000000,0.397102951,0.764699259,51.574
28,0.418012001,0.873500000,0.395107215,0.767633696,53.472
29,0.414755597,0.873500000,0.392790137,0.769067287,55.365
30,0.411417256,0.875000000,0.390209038,0.770970639,57.232
31,0.408468736,0.874000000,0.388221938,0.771887419,59.121
32,0.405425306,0.875500000,0.386010361,0.773780828,61.005
33,0.402668237,0.875000000,0.384700897,0.774721517,62.881
34,0.399885036,0.876500000,0.383476447,0.776489417,64.756
35,0.397395532,0.876500000,0.381123459,0.777339711,66.605
36,0.394806465,0.875000000,0.380032818,0.778279135,68.457
37,0.392384694,0.876000000,0.378284722,0.779382112,70.314
38,0.389956996,0.875000000,0.377152837,0.780238290,72.173
39,0.387778438,0.877000000,0.375288427,0.781595309,74.029
40,0.385624654,0.875000000,0.374219559,0.782034255,75.909
41,0.383474797,0.875000000,0.373231253,0.782907685,77.783
42,0.381295732,0.873500000,0.371963051,0.784268882,79.642
43,0.379457482,0.877000000,0.370677908,0.785892887,81.502
44,0.377458144,0.877000000,0.369828888,0.786623780,83.395
45,0.375585281,0.879000000,0.368803256,0.787540089,85.263
46,0.373821888,0.875000000,0.367353069,0.787549639,87.163
47,0.371926536,0.877500000,0.366719402,0.788774085,89.064
48,0.370071800,0.877500000,0.366223931,0.789901017,90.928
49,0.368601231,0.878500000,0.364663871,0.790157786,92.786
50,0.366868473,0.875000000,0.364099957,0.790206732,94.644
51,0.365162516,0.877500000,0.363396521,0.791973425,96.501
52,0.363665986,0.879000000,0.362655826,0.792436456,98.358
53,0.362215152,0.876500000,0.361844222,0.791910060,100.247
54,0.360590008,0.878000000,0.360588715,0.793277119,102.102
55,0.359230936,0.877500000,0.359919567,0.794028511,103.960
56,0.357449793,0.877000000,0.359519590,0.794002378,105.819
57,0.356350462,0.875000000,0.358556151,0.794753129,107.678
58,0.354912825,0.880000000,0.358022363,0.795845521,109.537
59,0.353553242,0.878000000,0.357231212,0.795843575,111.397
60,0.352165698,0.877500000,0.356516260,0.796457779,113.257
61,0.350798827,0.878000000,0.356582157,0.796080280,115.116
62,0.349640242,0.878000000,0.355429972,0.797326005,116.975
63,0.348438565,0.879000000,0.354767430,0.797962188,118.834
64,0.347059911,0.878000000,0.353983440,0.798567367,120.693
65,0.345842187,0.878500000,0.353941200,0.799313613,122.552
66,0.344714755,0.879500000,0.353094619,0.799443414,124.411
67,0.343523192,0.878500000,0.352582613,0.799467637,126.271
68,0.342347910,0.879500000,0.352206371,0.800102584,128.130
