epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.102000000,2.323832971,0.099014422,0.254
1,1.922168638,0.722500000,1.730266576,0.186215614,3.188
2,1.688852938,0.727000000,1.622611240,0.209762570,6.272
3,1.619322580,0.732500000,1.574064297,0.221417746,9.221
4,1.582828623,0.736000000,1.545311162,0.228589760,12.290
5,1.559984951,0.736500000,1.526017391,0.233700242,15.362
6,1.544298433,0.737000000,1.515192300,0.236309069,18.351
7,1.533275834,0.740000000,1.505551597,0.238841054,21.426
8,1.525754908,0.740000000,1.496089948,0.241667452,24.550
9,1.519291238,0.744500000,1.489169771,0.243341072,27.672
10,1.513515181,0.742000000,1.485906466,0.244184384,30.647
11,1.510010181,0.745000000,1.481549317,0.245332205,33.492
12,1.505767704,0.746500000,1.480517791,0.245371007,36.459
13,1.503721025,0.745000000,1.475782559,0.247032170,39.394
14,1.502447380,0.745500000,1.473281096,0.247541836,42.414
15,1.499469284,0.742500000,1.471415371,0.248571595,45.430
16,1.498139920,0.745000000,1.470735855,0.248402161,48.437
17,1.496373317,0.745500000,1.469296117,0.248920432,51.427
