epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.083000000,2.318775921,0.099733917,0.242
1,1.636110027,0.882500000,1.194686695,0.330560922,2.428
2,1.004483307,0.932500000,0.822818200,0.478830235,4.622
3,0.733938847,0.945500000,0.633504987,0.573466367,6.824
4,0.584032238,0.960000000,0.520215963,0.635844649,9.024
5,0.488431897,0.964500000,0.444638765,0.679976987,11.217
6,0.421700890,0.969000000,0.390073014,0.713260769,13.402
7,0.372228214,0.973500000,0.349208351,0.738990032,15.559
8,0.334168506,0.976000000,0.316626300,0.760363849,17.744
9,0.303626239,0.977000000,0.290386533,0.777733193,19.943
10,0.278782569,0.979000000,0.268614068,0.792525970,22.132
11,0.257964040,0.979500000,0.250090947,0.805339480,24.342
12,0.240277704,0.983500000,0.234559042,0.816048437,26.515
13,0.225105868,0.983500000,0.220909799,0.825737618,28.696
14,0.211891630,0.984000000,0.209053891,0.834151959,30.884
15,0.200268436,0.984500000,0.198569298,0.841725971,33.076
16,0.189984446,0.986000000,0.189417814,0.848372105,35.289
17,0.180808467,0.987000000,0.181078226,0.854477742,37.466
18,0.172502180,0.986500000,0.173689531,0.859948188,39.661
19,0.165058855,0.987500000,0.167126273,0.864782246,41.864
20,0.158273519,0.987500000,0.160868596,0.869426970,44.030
21,0.152068954,0.987500000,0.155255949,0.873688574,46.229
22,0.146385428,0.988500000,0.150114205,0.877520003,48.451
23,0.141166760,0.988500000,0.145323194,0.881172661,50.657
24,0.136281798,0.988000000,0.140646035,0.884764087,52.852
25,0.131809887,0.988500000,0.136603965,0.887848222,55.019
26,0.127645771,0.989000000,0.132830145,0.890745909,57.237
27,0.123738224,0.989500000,0.129215568,0.893504067,59.425
28,0.120096607,0.989500000,0.125839291,0.896137210,61.609
29,0.116704381,0.989500000,0.122743542,0.898528790,63.814
30,0.113499724,0.989500000,0.119782538,0.900818860,65.998
31,0.110460123,0.990000000,0.116940121,0.903068652,68.223
32,0.107625527,0.990000000,0.114325044,0.905081456,70.405
33,0.104935743,0.990000000,0.111754871,0.907086647,72.579
34,0.102389139,0.990500000,0.109634912,0.908750640,74.807
35,0.099998505,0.990500000,0.107173371,0.910711067,77.020
36,0.097698923,0.990500000,0.105108312,0.912333429,79.239
37,0.095515861,0.990500000,0.103045421,0.913972197,81.485
38,0.093425790,0.991500000,0.101089882,0.915525166,83.761
39,0.091463980,0.991000000,0.099328012,0.916918702,85.980
40,0.089576560,0.991000000,0.097457740,0.918401835,88.172
41,0.087761908,0.991000000,0.095855787,0.919662798,90.350
42,0.086046248,0.991000000,0.094160419,0.921034954,92.527
43,0.084391669,0.990500000,0.092634212,0.922249810,94.703
44,0.082812563,0.990500000,0.091268342,0.923351653,96.879
45,0.081293869,0.990500000,0.089752875,0.924573143,99.075
46,0.079827695,0.990500000,0.088435586,0.925650495,101.295
47,0.078427065,0.991000000,0.087130529,0.926686727,103.474
48,0.077077966,0.991000000,0.085811289,0.927748348,105.654
