epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.081500000,2.334330604,0.098303040,0.248
1,1.677693989,0.764500000,1.266457031,0.315076447,2.093
2,1.116185833,0.810000000,0.937314644,0.448278768,3.951
3,0.893808264,0.822500000,0.779559837,0.527409014,5.819
4,0.776410388,0.835500000,0.688301718,0.577651137,7.673
5,0.703925530,0.841000000,0.629257666,0.612669416,9.528
6,0.654048125,0.844500000,0.587668147,0.638514476,11.382
7,0.617665512,0.849500000,0.556588775,0.657977964,13.235
8,0.589453407,0.850000000,0.532048292,0.673122790,15.101
9,0.566886041,0.851500000,0.512606307,0.685945332,16.972
10,0.548125858,0.855500000,0.497066423,0.695998716,18.826
11,0.532536768,0.858000000,0.484015380,0.705865037,20.686
12,0.518926187,0.858000000,0.472411400,0.712594334,22.546
13,0.507073395,0.861000000,0.463381965,0.719458780,24.382
14,0.496858832,0.862500000,0.454121267,0.725279027,26.238
15,0.487550780,0.864000000,0.447061478,0.730250249,28.091
16,0.479282553,0.868500000,0.440459572,0.733952258,29.964
17,0.471674037,0.865500000,0.434523503,0.739105000,31.836
18,0.464792184,0.867000000,0.428905643,0.742537964,33.672
19,0.458525226,0.869000000,0.424002135,0.745753203,35.511
20,0.452628974,0.869500000,0.419140545,0.749084642,37.387
21,0.447080197,0.870500000,0.416103421,0.751374379,39.241
22,0.442112978,0.872000000,0.411612025,0.753959858,41.084
23,0.437373734,0.871000000,0.408542468,0.757780180,42.948
24,0.432987780,0.871000000,0.405316318,0.759237061,44.814
25,0.428767655,0.871500000,0.402161318,0.761837919,46.675
26,0.425036716,0.873500000,0.399472439,0.763752871,48.531
27,0.421049752,0.872500000,0.396896804,0.764681175,50.388
28,0.417509085,0.873500000,0.395117658,0.767610627,52.242
29,0.414278314,0.873000000,0.392511273,0.769402203,54.106
30,0.410964172,0.875500000,0.390120071,0.771305522,55.972
31,0.408038166,0.875500000,0.388036671,0.772202358,57.839
32,0.404987345,0.876000000,0.385680168,0.773948339,59.715
33,0.402279958,0.874500000,0.384447585,0.774980117,61.591
34,0.399397240,0.876500000,0.383356934,0.776771700,63.438
35,0.396972976,0.876500000,0.380948580,0.777489730,65.313
36,0.394359373,0.876500000,0.379899883,0.778559691,67.167
37,0.392001704,0.876500000,0.378195500,0.779819116,69.027
38,0.389525972,0.874500000,0.376938185,0.780213176,70.909
39,0.387334270,0.876000000,0.375126388,0.781632397,72.800
40,0.385162858,0.875500000,0.373899497,0.782244655,74.744
41,0.383032397,0.874500000,0.373111357,0.782712149,76.615
42,0.380883191,0.874500000,0.371676326,0.784417525,78.551
43,0.379027715,0.878000000,0.370583961,0.786178981,80.403
44,0.377038502,0.876500000,0.369546350,0.786320035,82.274
45,0.375175404,0.878500000,0.368363828,0.787110185,84.087
46,0.373347132,0.873500000,0.367441579,0.787200069,85.943
47,0.371594970,0.878000000,0.366706925,0.788994659,87.820
48,0.369711904,0.877500000,0.366231488,0.790125692,89.713
49,0.368229481,0.878000000,0.364548534,0.790078680,91.589
50,0.366496772,0.876500000,0.363863056,0.790482635,93.486
51,0.364764935,0.878000000,0.363546517,0.792092789,95.352
52,0.363276886,0.879000000,0.362485416,0.792843149,97.218
53,0.361769016,0.876000000,0.361724075,0.791900424,99.093
54,0.360181578,0.879500000,0.360378462,0.793587998,100.946
55,0.358794035,0.877000000,0.359588929,0.794070101,102.836
56,0.356987561,0.877500000,0.359299325,0.794024881,104.729
57,0.355991734,0.874000000,0.358537864,0.794790836,106.603
58,0.354513935,0.879000000,0.357970773,0.795731704,108.440
59,0.353187698,0.876500000,0.357130723,0.795763129,110.277
60,0.351750258,0.877000000,0.356444372,0.796712071,112.325
61,0.350367452,0.878500000,0.356691907,0.795824891,114.214
62,0.349299486,0.879500000,0.355264218,0.797886544,116.105
63,0.348028623,0.878000000,0.354643219,0.798455422,117.968
64,0.346724589,0.878500000,0.353830476,0.798940361,119.849
65,0.345580403,0.878500000,0.353611805,0.799601894,121.737
66,0.344341191,0.879500000,0.352934409,0.799773457,123.621
67,0.343118945,0.879000000,0.352302183,0.799737293,125.480
68,0.341912466,0.879500000,0.352059300,0.800421495,127.354
69,0.340793111,0.879500000,0.351646580,0.800737966,129.244
70,0.339672315,0.877000000,0.351483186,0.800379193,131.171
71,0.338692963,0.878000000,0.350446112,0.801409826,133.075
72,0.337541566,0.878000000,0.349971158,0.801505188,134.962
73,0.336489360,0.877000000,0.349805808,0.802469924,136.839
74,0.335321517,0.878500000,0.349250389,0.802351202,138.718
75,0.334335388,0.878000000,0.349039349,0.803030478,140.701
