epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.083000000,2.318775921,0.099733917,0.246
1,2.309270895,0.099000000,2.319513899,0.099130887,2.487
2,2.296121179,0.096000000,2.315431563,0.099559228,4.726
3,2.288487641,0.112000000,2.313045971,0.100080898,6.967
4,2.282800847,0.089500000,2.316350186,0.099722721,9.205
5,2.277907302,0.120500000,2.310285586,0.100757858,11.445
6,2.273621808,0.104000000,2.315469399,0.100112107,13.690
7,2.269463162,0.104000000,2.319218234,0.099961054,15.934
8,2.265689726,0.105500000,2.325557538,0.099537296,18.173
9,2.262480231,0.107000000,2.324755414,0.099735728,20.409
10,2.259203436,0.111500000,2.324167911,0.099797412,22.676
11,2.255891991,0.107000000,2.325960889,0.099876088,24.907
12,2.252629858,0.089000000,2.329781867,0.099270335,27.139
13,2.250128853,0.094000000,2.324131489,0.099832972,29.376
14,2.247505100,0.103000000,2.330294546,0.099735243,31.616
15,2.244678990,0.108000000,2.328304524,0.099820839,33.844
