epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.083000000,2.318775921,0.099733917,0.251
1,1.634441695,0.885000000,1.197461976,0.329785442,2.505
2,1.005524848,0.930000000,0.824447318,0.478509540,4.760
3,0.735248231,0.946500000,0.634644221,0.572527095,7.033
4,0.585132587,0.960000000,0.522040253,0.634486434,9.307
5,0.489427778,0.965000000,0.445659602,0.679395542,11.570
6,0.422566805,0.969000000,0.390775973,0.713022718,13.831
7,0.373094969,0.973000000,0.349596597,0.738865759,16.090
8,0.334867829,0.976000000,0.316879786,0.760210546,18.351
9,0.304317553,0.977500000,0.290374228,0.777887340,20.611
10,0.279291554,0.979000000,0.269019657,0.792303292,22.876
11,0.258491545,0.981500000,0.250523482,0.804980724,25.145
12,0.240807699,0.983500000,0.235007318,0.815813757,27.401
13,0.225613278,0.983500000,0.221344723,0.825462071,29.639
14,0.212325566,0.984000000,0.209623432,0.833763118,31.879
15,0.200731250,0.984500000,0.199109287,0.841374046,34.135
16,0.190352947,0.986500000,0.190008108,0.847923494,36.392
17,0.181206875,0.986500000,0.181690268,0.854038381,38.658
18,0.172907341,0.987000000,0.174205161,0.859569119,40.918
19,0.165429035,0.987000000,0.167532471,0.864463286,43.183
20,0.158619521,0.987500000,0.161289510,0.869159929,45.439
21,0.152402966,0.987500000,0.155392309,0.873582296,47.706
22,0.146708262,0.988000000,0.150341644,0.877397907,49.964
23,0.141442359,0.988000000,0.145506756,0.881087479,52.224
24,0.136584336,0.988000000,0.140935201,0.884545731,54.483
25,0.132100206,0.988500000,0.136831474,0.887674195,56.730
26,0.127922773,0.989000000,0.132993063,0.890619747,58.996
27,0.123999370,0.989000000,0.129579940,0.893220223,61.259
28,0.120367212,0.989500000,0.126220041,0.895843504,63.493
29,0.116935786,0.989000000,0.122971439,0.898361396,65.708
30,0.113742725,0.990000000,0.119968643,0.900690217,67.920
31,0.110702427,0.990000000,0.117179042,0.902867025,70.137
32,0.107854526,0.990000000,0.114428131,0.905011169,72.364
33,0.105158007,0.990000000,0.111969233,0.906944697,74.575
34,0.102607756,0.990500000,0.109734151,0.908666746,76.827
35,0.100191418,0.990000000,0.107407380,0.910545628,79.077
36,0.097872135,0.990500000,0.105340127,0.912119334,81.341
37,0.095724219,0.990000000,0.103302793,0.913750382,83.564
38,0.093648163,0.990000000,0.101348607,0.915311702,85.788
39,0.091662169,0.990500000,0.099469799,0.916814794,87.998
40,0.089749983,0.990500000,0.097820172,0.918130604,90.250
41,0.087959190,0.990500000,0.096095074,0.919494642,92.482
42,0.086236252,0.990500000,0.094477239,0.920802085,94.750
43,0.084562674,0.991000000,0.092840331,0.922108146,96.974
44,0.082995508,0.990500000,0.091375334,0.923268428,99.193
45,0.081461998,0.990500000,0.089951667,0.924416821,101.411
46,0.080003629,0.990500000,0.088607854,0.925501681,103.629
47,0.078586823,0.991000000,0.087272605,0.926558618,105.849
48,0.077242283,0.991500000,0.085999171,0.927587789,108.096
49,0.075938732,0.991500000,0.084778364,0.928565405,110.345
50,0.074679615,0.991500000,0.083527811,0.929578948,112.637
51,0.073467405,0.991000000,0.082409293,0.930493942,114.973
52,0.072296520,0.991000000,0.081283024,0.931392982,117.219
53,0.071172774,0.991500000,0.080185055,0.932279967,119.443
54,0.070082552,0.991500000,0.079214745,0.933073689,122.105
55,0.069022369,0.991500000,0.078253693,0.933866915,125.068
56,0.067997790,0.991500000,0.077322016,0.934618503,127.500
57,0.067012059,0.991500000,0.076341578,0.935422595,129.854
58,0.066050245,0.991500000,0.075529713,0.936091713,132.173
59,0.065130795,0.991500000,0.074601179,0.936839202,134.450
60,0.064232203,0.992000000,0.073693207,0.937590316,136.748
61,0.063349242,0.992000000,0.072812591,0.938303569,139.201
62,0.062500028,0.992500000,0.072068955,0.938928062,141.495
63,0.061668810,0.992500000,0.071323835,0.939519280,143.840
64,0.060884720,0.992500000,0.070535406,0.940179734,146.235
65,0.060104323,0.993000000,0.069778292,0.940807866,148.491
66,0.059343168,0.993000000,0.069075069,0.941376295,150.733
67,0.058604650,0.993000000,0.068386903,0.941940386,152.977
68,0.057892292,0.993000000,0.067689205,0.942508887,155.207
69,0.057187880,0.993000000,0.066980088,0.943102324,157.481
70,0.056518467,0.993000000,0.066334266,0.943628583,159.776
71,0.055852220,0.993000000,0.065716696,0.944141711,162.110
72,0.055201128,0.993000000,0.065134867,0.944614618,164.556
73,0.054576810,0.993000000,0.064521225,0.945130664,166.903
74,0.053956522,0.993000000,0.063876879,0.945657287,169.250
75,0.053360795,0.993000000,0.063312993,0.946112844,171.577
