epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.081500000,2.334330604,0.098303040,0.254
1,2.311475969,0.063000000,2.318942530,0.098843088,2.190
2,2.298448581,0.087000000,2.323809547,0.098606255,4.123
3,2.289995731,0.053500000,2.337081702,0.097307818,6.067
4,2.284882612,0.084000000,2.316174655,0.099422077,8.029
5,2.278951341,0.083000000,2.327318765,0.098740290,9.962
6,2.275227105,0.075000000,2.331138556,0.098243395,11.894
7,2.270530245,0.070000000,2.329678206,0.098469733,13.829
8,2.267255617,0.070500000,2.330532845,0.098560854,15.760
9,2.263579145,0.061500000,2.338975256,0.097791581,17.693
10,2.259820716,0.072000000,2.335619020,0.098264977,19.627
11,2.256846136,0.069500000,2.338766641,0.097967789,21.562
12,2.253980911,0.075000000,2.340933551,0.098001065,23.487
