epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.081500000,2.334330604,0.098303040,0.251
1,1.675499790,0.763000000,1.266091224,0.315043639,2.186
2,1.116670360,0.809500000,0.937995612,0.447792615,4.128
3,0.894886493,0.822500000,0.780815554,0.525953197,6.251
4,0.777576554,0.833500000,0.690151319,0.576734352,9.516
5,0.705035312,0.838000000,0.631056862,0.611868656,12.215
6,0.655468093,0.842500000,0.588912286,0.637762976,14.188
7,0.618748922,0.848500000,0.557274355,0.656884938,16.153
8,0.590453134,0.850000000,0.533243038,0.672325936,18.090
9,0.567694261,0.854000000,0.514420485,0.684602770,20.020
10,0.549113190,0.855500000,0.497734781,0.695912652,21.946
11,0.533081497,0.857000000,0.484673513,0.704182180,23.885
12,0.519692178,0.859500000,0.473568417,0.711683968,25.872
13,0.507859306,0.861500000,0.463299630,0.719586147,27.845
14,0.497515368,0.863500000,0.455087073,0.723760423,29.820
15,0.488303473,0.865000000,0.447372827,0.729970816,31.796
16,0.479840749,0.867500000,0.441010192,0.733533893,33.728
17,0.472382978,0.867500000,0.434375241,0.738305801,35.638
18,0.465380148,0.869500000,0.429312087,0.741982938,37.542
19,0.458990897,0.869000000,0.424230305,0.746176113,39.453
20,0.453105407,0.868500000,0.420310087,0.749761068,41.374
21,0.447924817,0.870000000,0.415869857,0.751513073,43.296
22,0.442603255,0.870500000,0.412562759,0.754822040,45.213
23,0.437948037,0.870000000,0.409096329,0.757145696,47.144
24,0.433525434,0.872000000,0.405479592,0.759004032,49.093
25,0.429253795,0.870500000,0.402424279,0.761645867,51.082
26,0.425322766,0.873500000,0.399854553,0.763521059,53.049
27,0.421705882,0.873000000,0.396958382,0.765590473,55.023
28,0.418102469,0.872500000,0.394938652,0.766645118,56.987
29,0.414727506,0.874000000,0.392308701,0.768690885,59.002
30,0.411327222,0.874500000,0.390623759,0.770545938,61.244
31,0.408382763,0.873000000,0.388218681,0.771704536,63.204
32,0.405510501,0.875000000,0.386414847,0.773284023,65.189
33,0.402594518,0.875000000,0.384624367,0.775070593,67.136
34,0.399908641,0.878500000,0.382628146,0.776420122,69.066
35,0.397361922,0.875500000,0.381114489,0.777666693,70.996
36,0.394801220,0.876000000,0.379603795,0.778818241,72.930
37,0.392357027,0.877000000,0.378273533,0.779867750,74.863
38,0.390014341,0.876000000,0.376668684,0.780311885,76.797
39,0.387747784,0.877000000,0.375423459,0.781792433,78.728
40,0.385724729,0.877000000,0.373953238,0.783061850,80.668
41,0.383454587,0.876000000,0.372953764,0.783606543,82.598
42,0.381439105,0.877000000,0.372087379,0.784992656,84.534
43,0.379468098,0.876000000,0.371019859,0.785808311,86.475
44,0.377395696,0.876000000,0.370068511,0.785918345,88.404
