epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.455620071,0.098827433,0.245
1,1.331583393,0.892000000,0.938388139,0.429752119,3.383
2,0.871644185,0.920000000,0.782368686,0.496728785,6.656
3,0.759169185,0.930000000,0.706987384,0.532351681,9.940
4,0.702343051,0.938000000,0.664448834,0.553573297,13.312
5,0.665663974,0.943000000,0.636550967,0.567958610,16.533
6,0.641356775,0.944000000,0.617721726,0.577496686,19.770
7,0.623636604,0.946000000,0.603975758,0.585000858,23.086
8,0.610172670,0.947500000,0.592125634,0.591111804,26.457
9,0.600064491,0.950000000,0.581235961,0.597488782,29.836
10,0.589940524,0.951000000,0.574116235,0.601039055,33.287
11,0.582759485,0.955000000,0.567841517,0.604483380,36.693
12,0.575865053,0.954500000,0.562145055,0.607893775,40.057
13,0.570926833,0.954500000,0.558121786,0.610123608,43.411
14,0.565487231,0.954000000,0.555049428,0.611739099,46.776
15,0.562293950,0.955500000,0.549029497,0.614960588,50.144
16,0.558096780,0.954000000,0.546316753,0.616586554,53.514
17,0.555716049,0.953500000,0.545334598,0.617518283,56.893
18,0.552370932,0.954000000,0.542344658,0.618700176,60.253
19,0.550579105,0.954500000,0.540741848,0.619539113,63.567
20,0.547402805,0.954000000,0.538521271,0.620770470,66.896
