epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.102000000,2.487461927,0.098222775,0.235
1,1.322148972,0.794000000,0.936561625,0.453021108,2.913
2,0.905124183,0.828000000,0.793238399,0.520774112,5.597
3,0.814663570,0.841000000,0.736133934,0.550625243,8.272
4,0.769557785,0.845500000,0.703684985,0.568505929,10.947
5,0.741520979,0.847000000,0.681389150,0.580556946,13.583
6,0.721263224,0.849000000,0.667526828,0.586824642,16.267
7,0.707398823,0.851000000,0.653453117,0.594383631,18.942
8,0.695802135,0.849500000,0.643863877,0.601069431,21.629
9,0.686662748,0.850000000,0.635115515,0.606658159,24.180
10,0.678772167,0.855000000,0.630724736,0.607724603,26.693
11,0.672859368,0.854500000,0.623823387,0.612486214,29.317
12,0.666972846,0.854500000,0.620713393,0.612915846,31.924
13,0.662176478,0.853500000,0.615605595,0.617187560,34.506
14,0.658549770,0.852500000,0.611513473,0.619758956,37.084
15,0.654623749,0.856000000,0.609252083,0.621009636,39.672
16,0.651496796,0.854000000,0.606627740,0.621680328,42.305
17,0.648522399,0.854000000,0.604006864,0.625060931,44.891
18,0.645802544,0.855500000,0.600781346,0.625861378,47.490
19,0.643304178,0.853500000,0.599321969,0.626733106,50.079
20,0.641327459,0.856000000,0.597117990,0.628205206,52.678
21,0.639171353,0.854500000,0.595468924,0.628707293,55.260
22,0.637052901,0.857500000,0.594242073,0.629293352,57.837
23,0.635796119,0.855500000,0.591374827,0.632385491,60.465
24,0.633855500,0.855500000,0.589309946,0.632887419,63.142
25,0.632804520,0.857500000,0.588374777,0.633330195,65.839
