epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.315037019,0.099738644,0.243
1,1.800599511,0.809500000,1.435594504,0.259321583,2.325
2,1.249261255,0.880500000,1.065141786,0.379829977,4.430
3,0.963958709,0.905500000,0.851690193,0.469760081,6.540
4,0.789970676,0.924000000,0.714612932,0.535350991,8.687
5,0.673134654,0.934500000,0.619289453,0.584521164,10.884
6,0.589012417,0.939500000,0.548785359,0.622972102,13.270
7,0.525343830,0.947000000,0.494731455,0.653600746,15.380
8,0.475423849,0.951500000,0.451464888,0.679046870,17.461
9,0.435009970,0.955000000,0.416192086,0.700273477,19.547
10,0.401658845,0.958500000,0.386671179,0.718446027,21.626
11,0.373483344,0.960500000,0.361608887,0.734290749,23.722
12,0.349434822,0.965000000,0.340117132,0.747860419,25.833
13,0.328613885,0.967500000,0.321380666,0.759984779,27.926
14,0.310368176,0.969000000,0.304968178,0.770728164,30.041
15,0.294262807,0.971500000,0.290397642,0.780372329,32.177
16,0.279931158,0.973500000,0.277472148,0.789040799,34.267
17,0.267086634,0.974500000,0.265761151,0.796963268,36.358
18,0.255466628,0.974500000,0.255310631,0.804132819,38.457
19,0.244936079,0.976500000,0.245780621,0.810623761,40.554
20,0.235342034,0.977000000,0.236978708,0.816704995,42.640
21,0.226531818,0.977000000,0.229044118,0.822278241,44.725
22,0.218432647,0.977500000,0.221637743,0.827434003,46.815
23,0.210956550,0.978500000,0.214851592,0.832241949,48.902
24,0.204032148,0.979000000,0.208308155,0.836912806,50.993
25,0.197587147,0.979500000,0.202478904,0.841057897,53.089
26,0.191600558,0.980000000,0.196987227,0.845002100,55.182
27,0.185981929,0.980000000,0.191803070,0.848716839,57.283
28,0.180725837,0.981000000,0.186966108,0.852221205,59.372
29,0.175791383,0.981000000,0.182453801,0.855490264,61.460
30,0.171151540,0.981500000,0.178185492,0.858592290,63.551
31,0.166762516,0.982500000,0.174124009,0.861586901,65.650
32,0.162626436,0.982000000,0.170330658,0.864356290,67.738
33,0.158712084,0.982000000,0.166678754,0.867033650,69.835
34,0.155002857,0.982500000,0.163410531,0.869463713,71.960
35,0.151488691,0.983500000,0.160032788,0.871972524,74.083
36,0.148136639,0.984500000,0.156970886,0.874246957,76.188
37,0.144952986,0.984500000,0.154013125,0.876456128,78.265
38,0.141904125,0.985000000,0.151190118,0.878563726,80.348
39,0.139011813,0.984500000,0.148587156,0.880518757,82.435
40,0.136242011,0.985000000,0.145958556,0.882486782,84.540
41,0.133592406,0.985000000,0.143522359,0.884309053,86.637
42,0.131053876,0.986500000,0.141149451,0.886117141,88.737
43,0.128619486,0.986500000,0.138919142,0.887798854,90.831
44,0.126289704,0.987000000,0.136823206,0.889398297,92.909
45,0.124045820,0.987000000,0.134697950,0.891011561,94.990
46,0.121886625,0.987000000,0.132730830,0.892514767,97.068
47,0.119817035,0.987000000,0.130794783,0.893987852,99.147
48,0.117814864,0.987000000,0.128933246,0.895419706,101.230
49,0.115894911,0.987000000,0.127153553,0.896777072,103.320
50,0.114036934,0.987000000,0.125458078,0.898071529,105.406
51,0.112234712,0.988000000,0.123797419,0.899354028,107.503
52,0.110514555,0.988000000,0.122226567,0.900565085,109.607
53,0.108844631,0.988500000,0.120581892,0.901823285,111.697
54,0.107226157,0.988500000,0.119078011,0.902981595,113.831
55,0.105659359,0.988500000,0.117650462,0.904099019,115.978
56,0.104137588,0.988500000,0.116269894,0.905166021,118.138
57,0.102675282,0.988500000,0.114875265,0.906235046,120.292
58,0.101255356,0.989000000,0.113568492,0.907259244,122.402
59,0.099869470,0.989000000,0.112279313,0.908258004,124.512
60,0.098532595,0.989500000,0.111014662,0.909246739,126.634
61,0.097234190,0.989500000,0.109847699,0.910157663,128.731
62,0.095965422,0.989500000,0.108671353,0.911067013,130.829
63,0.094740791,0.989500000,0.107477203,0.912001334,132.984
64,0.093550125,0.990000000,0.106394596,0.912851106,135.074
65,0.092387768,0.990000000,0.105284952,0.913716322,137.144
66,0.091256554,0.990000000,0.104226616,0.914544275,139.216
67,0.090154215,0.990000000,0.103221897,0.915336753,141.271
68,0.089087678,0.990000000,0.102226492,0.916116812,143.319
69,0.088037487,0.990000000,0.101264818,0.916877813,145.375
70,0.087026007,0.990000000,0.100296804,0.917627234,147.505
71,0.086033189,0.990000000,0.099382508,0.918344949,149.936
72,0.085062934,0.990000000,0.098463607,0.919071691,152.031
73,0.084122684,0.990000000,0.097576032,0.919764437,154.170
74,0.083202013,0.990000000,0.096706407,0.920451135,156.291
75,0.082304616,0.990000000,0.095869981,0.921119001,158.563
