epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.102000000,2.323832971,0.099014422,0.245
1,1.801999406,0.738500000,1.445526709,0.261027982,2.016
2,1.293040275,0.770500000,1.109784876,0.376330361,3.815
3,1.053766847,0.803000000,0.928877166,0.454568787,5.612
4,0.915989975,0.816500000,0.817673018,0.509771606,7.441
5,0.826717866,0.826000000,0.742722566,0.549771447,9.262
6,0.763939282,0.831500000,0.688654023,0.580340824,11.171
7,0.717353901,0.839000000,0.647399646,0.603821887,13.175
8,0.680951851,0.841500000,0.615337182,0.622841776,14.981
9,0.651800250,0.844500000,0.589262972,0.638978394,16.765
10,0.627576889,0.846500000,0.567958964,0.652100238,18.548
11,0.607198666,0.849000000,0.549960195,0.663724063,20.332
12,0.589668913,0.854000000,0.534680248,0.672994526,22.108
13,0.574392623,0.854000000,0.521517233,0.681914816,23.902
14,0.561034175,0.854500000,0.509688237,0.689486409,25.699
15,0.549067622,0.857500000,0.499536119,0.696091562,27.485
16,0.538301176,0.858000000,0.490469953,0.701675519,29.269
17,0.528533480,0.857000000,0.482310675,0.707434306,31.104
18,0.519686252,0.861000000,0.474844057,0.712252422,32.904
19,0.511559049,0.863000000,0.468230993,0.716380142,34.681
20,0.504050269,0.864000000,0.462003492,0.720558836,36.464
21,0.497064174,0.864000000,0.456685883,0.724334034,38.262
22,0.490567931,0.864500000,0.451363392,0.727916310,40.052
23,0.484557304,0.865000000,0.446692428,0.731771159,41.837
24,0.478891339,0.864500000,0.442221330,0.734262567,43.621
25,0.473664524,0.867000000,0.438042506,0.737192717,45.402
26,0.468675199,0.866000000,0.434255546,0.739704493,47.184
27,0.463871545,0.867500000,0.430764721,0.741954032,48.959
28,0.459404004,0.867000000,0.427574900,0.744716127,50.747
29,0.455153796,0.868000000,0.424485808,0.746897345,52.527
30,0.451031731,0.869500000,0.421356450,0.749252122,54.308
31,0.447256457,0.868000000,0.418569345,0.750828171,56.097
32,0.443452878,0.869500000,0.415809748,0.753060654,57.883
33,0.439994677,0.870000000,0.413499488,0.754493784,59.670
34,0.436533850,0.870000000,0.411286173,0.756406465,61.448
35,0.433332735,0.869500000,0.408809250,0.757763416,63.229
36,0.430151373,0.871500000,0.406900244,0.759215325,65.009
37,0.427134522,0.872500000,0.404756771,0.760703019,66.798
38,0.424160327,0.871000000,0.402949660,0.761813887,68.580
39,0.421389891,0.870500000,0.400904862,0.763313424,70.366
40,0.418690581,0.871000000,0.399119265,0.764452402,72.181
41,0.416018086,0.872000000,0.397630430,0.765576293,73.963
42,0.413446438,0.873000000,0.395919602,0.767201528,75.735
43,0.411007525,0.873000000,0.394311753,0.768713015,77.532
44,0.408614709,0.872500000,0.392955634,0.769678913,79.330
45,0.406254599,0.873000000,0.391538127,0.770846511,81.117
46,0.404041617,0.873500000,0.389968833,0.771405916,82.896
47,0.401791606,0.873000000,0.388758438,0.772663875,84.676
48,0.399529087,0.873500000,0.387635895,0.773833739,86.463
49,0.397589724,0.873000000,0.386176039,0.774474583,88.190
50,0.395517017,0.873500000,0.385048186,0.775123925,89.955
51,0.393479672,0.874000000,0.383918253,0.776478163,91.755
52,0.391580563,0.875000000,0.382906140,0.777365025,93.546
53,0.389719011,0.873500000,0.381849312,0.777488428,95.340
54,0.387842937,0.874500000,0.380569590,0.778685323,97.134
55,0.386062523,0.875000000,0.379612744,0.779511788,98.931
56,0.384144232,0.875000000,0.378755045,0.780088931,100.739
57,0.382548559,0.875000000,0.377726497,0.780741592,102.523
58,0.380834426,0.876000000,0.376816767,0.781768883,104.310
59,0.379168204,0.874500000,0.375920237,0.782277402,106.088
60,0.377529694,0.875500000,0.374975656,0.782886881,107.867
61,0.375899495,0.875500000,0.374451655,0.783132696,109.661
62,0.374380126,0.876500000,0.373470785,0.784169324,111.447
63,0.372888610,0.877000000,0.372651928,0.784811849,113.359
64,0.371302652,0.877000000,0.371768787,0.785527347,115.196
65,0.369803129,0.875000000,0.371218783,0.786358065,117.041
66,0.368418453,0.875500000,0.370360463,0.786743107,119.083
67,0.366977692,0.876500000,0.369729799,0.786943324,120.876
68,0.365557219,0.876500000,0.369084263,0.787678298,122.666
69,0.364104629,0.877000000,0.368441326,0.788016569,124.425
70,0.362816887,0.876000000,0.367943102,0.788286312,126.210
71,0.361500220,0.878500000,0.367027138,0.789322182,127.987
72,0.360143305,0.877500000,0.366358455,0.789703959,129.782
73,0.358877165,0.878000000,0.365926363,0.790189298,131.588
74,0.357551524,0.878500000,0.365295789,0.790612190,133.435
75,0.356313591,0.876500000,0.364689258,0.791069717,135.164
