epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.315037019,0.099738644,0.240
1,1.800599511,0.809500000,1.435594504,0.259321583,2.306
2,1.249261255,0.880500000,1.065141786,0.379829977,4.377
3,0.963958709,0.905500000,0.851690193,0.469760081,6.446
4,0.789970676,0.924000000,0.714612932,0.535350991,8.508
5,0.673134654,0.934500000,0.619289453,0.584521164,10.582
6,0.589012417,0.939500000,0.548785359,0.622972102,12.660
7,0.525343830,0.947000000,0.494731455,0.653600746,14.730
8,0.475423849,0.951500000,0.451464888,0.679046870,16.807
9,0.435009970,0.955000000,0.416192086,0.700273477,18.880
10,0.401658845,0.958500000,0.386671179,0.718446027,20.961
11,0.373483344,0.960500000,0.361608887,0.734290749,23.028
12,0.349434822,0.965000000,0.340117132,0.747860419,25.100
13,0.328613885,0.967500000,0.321380666,0.759984779,27.174
14,0.310368176,0.969000000,0.304968178,0.770728164,29.248
15,0.294262807,0.971500000,0.290397642,0.780372329,31.324
16,0.279931158,0.973500000,0.277472148,0.789040799,33.405
17,0.267086634,0.974500000,0.265761151,0.796963268,35.485
18,0.255466628,0.974500000,0.255310631,0.804132819,37.557
19,0.244936079,0.976500000,0.245780621,0.810623761,39.631
20,0.235342034,0.977000000,0.236978708,0.816704995,41.703
21,0.226531818,0.977000000,0.229044118,0.822278241,43.776
22,0.218432647,0.977500000,0.221637743,0.827434003,45.843
23,0.210956550,0.978500000,0.214851592,0.832241949,47.892
24,0.204032148,0.979000000,0.208308155,0.836912806,49.939
25,0.197587147,0.979500000,0.202478904,0.841057897,51.991
