epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.102000000,2.323832971,0.099014422,0.241
1,1.801999406,0.738500000,1.445526709,0.261027982,1.998
2,1.293040275,0.770500000,1.109784876,0.376330361,3.757
3,1.053766847,0.803000000,0.928877166,0.454568787,5.517
4,0.915989975,0.816500000,0.817673018,0.509771606,7.279
5,0.826717866,0.826000000,0.742722566,0.549771447,9.040
6,0.763939282,0.831500000,0.688654023,0.580340824,10.808
7,0.717353901,0.839000000,0.647399646,0.603821887,12.572
8,0.680951851,0.841500000,0.615337182,0.622841776,14.335
9,0.651800250,0.844500000,0.589262972,0.638978394,16.102
10,0.627576889,0.846500000,0.567958964,0.652100238,17.861
11,0.607198666,0.849000000,0.549960195,0.663724063,19.627
12,0.589668913,0.854000000,0.534680248,0.672994526,21.393
13,0.574392623,0.854000000,0.521517233,0.681914816,23.168
14,0.561034175,0.854500000,0.509688237,0.689486409,24.932
15,0.549067622,0.857500000,0.499536119,0.696091562,26.696
16,0.538301176,0.858000000,0.490469953,0.701675519,28.459
17,0.528533480,0.857000000,0.482310675,0.707434306,30.224
18,0.519686252,0.861000000,0.474844057,0.712252422,31.990
19,0.511559049,0.863000000,0.468230993,0.716380142,33.754
20,0.504050269,0.864000000,0.462003492,0.720558836,35.520
21,0.497064174,0.864000000,0.456685883,0.724334034,37.283
22,0.490567931,0.864500000,0.451363392,0.727916310,39.036
23,0.484557304,0.865000000,0.446692428,0.731771159,40.796
24,0.478891339,0.864500000,0.442221330,0.734262567,42.570
25,0.473664524,0.867000000,0.438042506,0.737192717,44.331
