epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.111000000,2.300391320,0.101049381,0.249
1,1.887193891,0.853000000,1.575001298,0.218991944,2.360
2,1.383102842,0.883500000,1.208156127,0.325034019,4.480
3,1.090251614,0.902000000,0.981883427,0.410883847,6.619
4,0.902402561,0.912500000,0.832116544,0.477380606,8.754
5,0.773469736,0.926500000,0.726426245,0.528613624,10.879
6,0.679697112,0.936000000,0.647516465,0.569447674,12.992
7,0.608425300,0.940500000,0.586802915,0.602256153,15.107
8,0.552425364,0.946000000,0.537928477,0.629774259,17.225
9,0.507039375,0.949000000,0.498127427,0.652929533,19.345
10,0.469558760,0.952500000,0.464610967,0.672637018,21.463
11,0.437885934,0.957000000,0.436137727,0.689816107,23.584
12,0.410850262,0.960000000,0.411707677,0.704753457,25.700
13,0.387386127,0.962000000,0.390427605,0.718016501,27.829
14,0.366840955,0.964500000,0.371704531,0.729755593,29.939
15,0.348689684,0.966500000,0.355007663,0.740442985,32.057
16,0.332480043,0.968000000,0.340184287,0.749933536,34.179
17,0.317963096,0.969500000,0.326779910,0.758637587,36.296
18,0.304840707,0.969500000,0.314700329,0.766610929,38.417
19,0.292913377,0.971500000,0.303708560,0.773858711,40.540
20,0.282023755,0.971500000,0.293580601,0.780637590,42.663
21,0.272041680,0.971500000,0.284292918,0.786847744,44.781
22,0.262845338,0.972500000,0.275770582,0.792608373,46.902
23,0.254349153,0.973500000,0.267885722,0.797976649,49.026
24,0.246470140,0.973500000,0.260399030,0.803136208,51.144
25,0.239130776,0.975000000,0.253621432,0.807779583,53.275
26,0.232303133,0.975500000,0.247164583,0.812262653,55.401
27,0.225886053,0.976000000,0.241183738,0.816381524,57.522
28,0.219885208,0.976500000,0.235638937,0.820301046,59.675
29,0.214229792,0.976000000,0.230293526,0.824053768,61.817
30,0.208929564,0.977000000,0.225221768,0.827600024,63.997
31,0.203896865,0.977500000,0.220591896,0.830904977,66.184
32,0.199149052,0.977500000,0.216155186,0.834073534,68.365
33,0.194647494,0.977500000,0.211837587,0.837146945,70.489
34,0.190391011,0.978500000,0.207928798,0.839924751,72.613
35,0.186338020,0.978500000,0.204056488,0.842716643,74.735
36,0.182465824,0.979000000,0.200504383,0.845269657,76.858
37,0.178792118,0.980000000,0.197008869,0.847797505,78.987
38,0.175264246,0.980000000,0.193673752,0.850237809,81.108
39,0.171911283,0.980000000,0.190598316,0.852437203,83.236
40,0.168706684,0.980000000,0.187475189,0.854720493,85.359
41,0.165624032,0.980500000,0.184565900,0.856835928,87.481
42,0.162676003,0.980500000,0.181820124,0.858876023,89.605
43,0.159837375,0.980500000,0.179175600,0.860804808,91.732
44,0.157120754,0.980500000,0.176702994,0.862623560,93.850
45,0.154507346,0.981000000,0.174138031,0.864526080,95.978
46,0.151989744,0.981500000,0.171770126,0.866256660,98.101
47,0.149556585,0.981500000,0.169508339,0.867942142,100.233
48,0.147221061,0.981500000,0.167264310,0.869622254,102.395
49,0.144964201,0.981500000,0.165149741,0.871178626,104.524
50,0.142782416,0.981500000,0.163124931,0.872680070,106.655
51,0.140679385,0.981500000,0.161107575,0.874189414,108.783
52,0.138635928,0.982000000,0.159240081,0.875586932,110.917
53,0.136670186,0.982000000,0.157315139,0.877018262,113.041
54,0.134761279,0.982000000,0.155521608,0.878356964,115.205
55,0.132913071,0.982500000,0.153768354,0.879687457,117.338
56,0.131119794,0.982500000,0.152093422,0.880923361,119.465
57,0.129385374,0.982500000,0.150445156,0.882166762,121.596
58,0.127694804,0.982500000,0.148848067,0.883382358,123.729
59,0.126060689,0.983000000,0.147278215,0.884567971,125.851
60,0.124472363,0.983000000,0.145753316,0.885707956,127.984
61,0.122923158,0.983500000,0.144315642,0.886794332,130.116
62,0.121421026,0.983500000,0.142921602,0.887839133,132.251
63,0.119958765,0.984000000,0.141490223,0.888926941,134.375
64,0.118534843,0.983500000,0.140185494,0.889920225,136.474
65,0.117151991,0.984000000,0.138854141,0.890942096,138.597
66,0.115801566,0.984000000,0.137618169,0.891888279,140.698
67,0.114486270,0.984000000,0.136346213,0.892844174,142.803
68,0.113205675,0.984500000,0.135141638,0.893783954,144.914
69,0.111952372,0.984000000,0.133988227,0.894645264,147.015
70,0.110737067,0.984500000,0.132813178,0.895545156,149.101
71,0.109546714,0.984000000,0.131674908,0.896387180,151.204
72,0.108379910,0.984500000,0.130546757,0.897266997,153.456
73,0.107255317,0.984500000,0.129487552,0.898073351,155.573
74,0.106142516,0.984500000,0.128415786,0.898894583,157.802
75,0.105058844,0.985000000,0.127435050,0.899662383,159.930
