epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.122000000,2.293469102,0.101547119,0.246
1,1.823971148,0.780500000,1.486950129,0.250067738,2.035
2,1.336693938,0.806000000,1.154658311,0.355783090,3.833
3,1.093450051,0.819500000,0.970181317,0.431656688,5.635
4,0.949964799,0.824000000,0.855071887,0.486027596,7.465
5,0.856194585,0.831500000,0.777331835,0.526569850,9.275
6,0.790205750,0.835000000,0.721063442,0.557548218,11.075
7,0.741192065,0.839000000,0.678523841,0.582118555,12.869
8,0.702976742,0.842500000,0.644928308,0.601730681,14.673
9,0.672245035,0.845000000,0.617870983,0.618347235,16.476
10,0.646857010,0.849500000,0.595636900,0.632322924,18.276
11,0.625414306,0.853000000,0.576848400,0.644162465,20.071
12,0.607058544,0.853500000,0.560981113,0.654331143,21.872
13,0.590998700,0.853000000,0.547107126,0.663555785,23.673
14,0.577011699,0.853000000,0.534697140,0.671529383,25.464
15,0.564438655,0.856000000,0.524278693,0.678510550,27.273
16,0.553176420,0.853500000,0.514622624,0.684416928,29.076
17,0.542986969,0.855000000,0.506045097,0.690746088,30.874
18,0.533737989,0.856500000,0.498260922,0.695943075,32.678
19,0.525220790,0.857000000,0.491185571,0.700398236,34.478
20,0.517377580,0.858500000,0.484619301,0.704822821,36.274
21,0.510084640,0.859000000,0.478824424,0.708953531,38.077
22,0.503272306,0.860500000,0.473225959,0.712947778,39.875
23,0.496956064,0.861000000,0.468235834,0.716856290,41.681
24,0.490977151,0.861000000,0.463370765,0.719585407,43.486
25,0.485534611,0.862500000,0.458989434,0.722683929,45.284
26,0.480269745,0.864500000,0.454839175,0.725469296,47.083
27,0.475278506,0.863000000,0.450934064,0.727952128,48.885
28,0.470576161,0.865500000,0.447698047,0.731033057,50.688
29,0.466117683,0.865500000,0.444133136,0.733234040,52.494
30,0.461817264,0.865500000,0.440927386,0.735744592,54.314
31,0.457844181,0.867000000,0.437712052,0.737455048,56.114
32,0.453941023,0.866000000,0.434766870,0.739812616,57.921
33,0.450271480,0.868000000,0.432242779,0.741477243,59.742
34,0.446658098,0.866500000,0.429797372,0.743712604,61.558
35,0.443337740,0.867500000,0.427050789,0.745148173,63.419
36,0.439998813,0.868000000,0.424900438,0.746767786,65.270
37,0.436855099,0.869000000,0.422472554,0.748559825,67.117
38,0.433764892,0.870000000,0.420426616,0.749850774,68.961
39,0.430892524,0.869500000,0.418169067,0.751396680,70.771
40,0.428044086,0.869500000,0.416339210,0.752642226,72.574
41,0.425254343,0.869500000,0.414605107,0.753700600,74.376
42,0.422652366,0.871000000,0.412580952,0.755554684,76.185
43,0.420041213,0.872500000,0.410860392,0.757314972,77.985
44,0.417521458,0.871000000,0.409269359,0.758481389,79.791
45,0.415140773,0.871000000,0.407784091,0.759772816,81.598
46,0.412800272,0.873000000,0.405860331,0.760192691,83.394
47,0.410499741,0.872500000,0.404600256,0.761751019,85.198
48,0.408243270,0.874000000,0.403180776,0.763051462,87.004
49,0.406135549,0.873500000,0.401668288,0.763712262,88.806
50,0.404009355,0.874000000,0.400284249,0.764490027,90.609
51,0.401964996,0.874500000,0.398957408,0.765922358,92.418
52,0.399907232,0.873500000,0.397909967,0.766961996,94.227
53,0.398016832,0.874500000,0.396518318,0.767185526,96.029
54,0.396077637,0.872000000,0.395182037,0.768637509,97.837
55,0.394221266,0.873000000,0.393997741,0.769555329,99.637
56,0.392280936,0.874000000,0.392927210,0.769926771,101.457
57,0.390670847,0.873500000,0.391809834,0.771032756,103.284
58,0.388850085,0.873500000,0.390843794,0.772056420,105.091
59,0.387174643,0.874000000,0.389729847,0.772556071,106.900
60,0.385469636,0.875500000,0.388718629,0.773414835,108.707
61,0.383781335,0.874000000,0.387884174,0.773572364,110.518
62,0.382273049,0.875500000,0.386759449,0.774735717,112.318
63,0.380664624,0.875500000,0.385705884,0.775398256,114.125
64,0.379093874,0.875000000,0.384837476,0.776303828,115.980
65,0.377554064,0.875000000,0.384254748,0.777225411,117.791
66,0.376123807,0.875500000,0.383228831,0.777731641,119.591
67,0.374597225,0.874500000,0.382400516,0.777807346,121.400
68,0.373206703,0.875000000,0.381635335,0.778692350,123.208
69,0.371721496,0.874500000,0.380820400,0.779211649,125.011
70,0.370416232,0.874500000,0.380113025,0.779674325,126.818
71,0.369028180,0.875000000,0.379325232,0.780580654,128.639
72,0.367677618,0.875000000,0.378430891,0.781126776,130.442
73,0.366338899,0.874500000,0.377973982,0.781707304,132.252
74,0.365038317,0.876000000,0.377166875,0.782267730,134.060
75,0.363792858,0.876000000,0.376500841,0.782659572,135.851
