root_id	input_group
720575940603231916	3
720575940603464672	2
720575940603985952	2
720575940604352172	3
720575940604407468	0
720575940604431584	1
720575940604911793	3
720575940605102694	3
720575940605309361	0
720575940605400096	2
720575940605421442	2
720575940606590338	0
720575940606649865	2
720575940607439964	3
720575940607687260	0
720575940608199748	0
720575940608293129	2
720575940608628419	3
720575940608845525	1
720575940608898005	0
720575940608970197	0
720575940609447179	3
720575940609454603	1
720575940609460491	3
720575940609891886	3
720575940609903077	1
720575940610048981	1
720575940610052266	1
720575940610070442	3
720575940610100437	0
720575940610505170	3
720575940610511043	0
720575940610752068	1
720575940611022515	0
720575940611079236	0
720575940611352014	3
720575940611372714	2
720575940611703080	3
720575940611849187	3
720575940612031986	3
720575940612197374	3
720575940612284569	3
720575940612433614	1
720575940612468594	0
720575940612699761	2
720575940612856342	1
720575940613050577	0
720575940613058802	1
720575940613167007	1
720575940613203119	3
720575940613345442	0
720575940613347793	1
720575940613419695	2
720575940613579943	3
720575940613613619	3
720575940613655483	0
720575940613809554	1
720575940613864401	0
720575940614009827	0
720575940614309535	3
720575940614316731	0
720575940614714178	2
720575940614727903	1
720575940614871106	2
720575940615160386	2
720575940615366055	0
720575940615394719	2
720575940615594658	0
720575940616020795	2
720575940616079035	1
720575940616566133	3
720575940616824588	2
720575940617179451	1
720575940617207185	2
720575940617229632	2
720575940617343316	1
720575940617381681	3
720575940617642832	0
720575940617668747	3
720575940617781383	1
720575940617903168	0
720575940617917760	1
720575940618277184	1
720575940618295454	1
720575940618308825	3
720575940618461121	0
720575940618499238	1
720575940618800225	1
720575940618865112	1
720575940619071005	1
720575940619280705	2
720575940619337536	3
720575940619385765	3
720575940619411147	1
720575940619456728	2
720575940619531373	0
720575940619620852	2
720575940619637780	3
720575940619766219	1
720575940619807397	1
720575940619838912	3
720575940619895125	1
720575940619902598	2
720575940619928429	1
720575940620068518	1
720575940620103590	1
720575940620189790	3
720575940620199962	3
720575940620233307	3
720575940620266406	2
720575940620437339	0
720575940620445062	3
720575940620465904	3
720575940620467438	3
720575940620551259	2
720575940620595053	2
720575940620638335	2
720575940621103743	2
720575940621123113	0
720575940621185050	1
720575940621203632	3
720575940621239679	2
720575940621256212	3
720575940621316033	2
720575940621333696	3
720575940621529435	0
720575940621533985	1
720575940621696747	0
720575940621753377	1
720575940621817046	0
720575940622070554	0
720575940622287142	2
720575940622311704	2
720575940622364184	0
720575940622368792	2
720575940622448589	1
720575940622574532	3
720575940622726271	1
720575940622734835	1
720575940622762995	0
720575940622785062	3
720575940622811430	1
720575940623137741	0
720575940623237161	3
720575940623264906	0
720575940623287228	2
720575940623303108	3
720575940623307447	2
720575940623444715	1
720575940623465909	3
720575940623528925	0
