epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.500000000,1.089910525,0.336547664,0.030
1,1.092138802,0.540000000,1.080329870,0.339856421,0.065
2,1.080831520,0.600000000,1.071478325,0.342968280,0.099
3,1.069999908,0.620000000,1.063118193,0.345960597,0.133
4,1.060012304,0.620000000,1.056033452,0.348514242,0.166
5,1.050655121,0.620000000,1.048869034,0.351144281,0.200
6,1.041948396,0.620000000,1.043132451,0.353244926,0.234
7,1.033855748,0.620000000,1.037506613,0.355333219,0.267
8,1.026174686,0.620000000,1.032080311,0.357362499,0.301
9,1.019093907,0.660000000,1.027277709,0.359156024,0.335
10,1.012301158,0.660000000,1.022352109,0.361032067,0.369
11,1.005849562,0.660000000,1.018663554,0.362403082,0.403
12,0.999855501,0.660000000,1.013692292,0.364335977,0.434
13,0.993887641,0.660000000,1.010642385,0.365464245,0.470
14,0.988392813,0.660000000,1.006253137,0.367162396,0.503
15,0.983035306,0.680000000,1.003372955,0.368230238,0.537
16,0.978167999,0.680000000,1.000688411,0.369246933,0.571
17,0.973199452,0.680000000,0.998241189,0.370149705,0.606
18,0.968512716,0.680000000,0.994230474,0.371725418,0.639
19,0.963590755,0.680000000,0.991061738,0.372968820,0.671
20,0.959353372,0.680000000,0.988272875,0.374034348,0.705
21,0.955138157,0.700000000,0.986178880,0.374813702,0.740
22,0.950939157,0.680000000,0.984908766,0.375232180,0.775
23,0.947102343,0.680000000,0.982221767,0.376267086,0.806
24,0.943216122,0.680000000,0.979407819,0.377382630,0.837
25,0.939248905,0.680000000,0.976952484,0.378337107,0.869
