epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.500000000,1.089910525,0.336547664,0.028
1,1.096004954,0.520000000,1.084268503,0.338519612,0.063
2,1.086371889,0.560000000,1.079599601,0.340202616,0.098
3,1.077564480,0.600000000,1.074834523,0.341969317,0.132
4,1.069263488,0.600000000,1.070754116,0.343522269,0.168
5,1.061612883,0.600000000,1.067807728,0.344664154,0.203
6,1.054622797,0.600000000,1.064569872,0.345943664,0.237
7,1.048042971,0.600000000,1.061325490,0.347249027,0.269
8,1.041922022,0.600000000,1.059298638,0.348086414,0.304
9,1.036181994,0.600000000,1.057534445,0.348831791,0.338
10,1.030854342,0.600000000,1.055681332,0.349611089,0.370
11,1.025809256,0.600000000,1.053805570,0.350401885,0.402
12,1.020853471,0.600000000,1.052004041,0.351150285,0.435
13,1.016476997,0.600000000,1.050917397,0.351623112,0.469
14,1.012115769,0.600000000,1.050089744,0.351993067,0.503
15,1.008013429,0.600000000,1.049119066,0.352425078,0.536
16,1.004086634,0.600000000,1.047442055,0.353126075,0.569
17,1.000111467,0.600000000,1.046260586,0.353655925,0.602
18,0.996702965,0.600000000,1.045433433,0.354060523,0.635
19,0.993078505,0.600000000,1.045105691,0.354199062,0.669
20,0.989860330,0.600000000,1.044333832,0.354563157,0.702
21,0.986300889,0.600000000,1.044589726,0.354473583,0.737
22,0.983555153,0.600000000,1.044004141,0.354679922,0.768
23,0.980584757,0.600000000,1.044047593,0.354682794,0.803
24,0.977806636,0.600000000,1.043114170,0.355141612,0.833
25,0.974816702,0.600000000,1.042403148,0.355429225,0.869
