epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.400000000,1.087248201,0.337415205,0.024
1,1.093164126,0.500000000,1.083602691,0.338726011,0.036
2,1.082528902,0.500000000,1.080058908,0.340029636,0.048
3,1.072296215,0.550000000,1.076710026,0.341288851,0.062
4,1.062434575,0.550000000,1.073573175,0.342491287,0.074
5,1.053006423,0.550000000,1.070516451,0.343680562,0.087
6,1.043949203,0.550000000,1.067629349,0.344818680,0.100
7,1.035277924,0.550000000,1.064894428,0.345910503,0.112
8,1.026980250,0.550000000,1.062227966,0.346985556,0.125
9,1.018978218,0.550000000,1.059630700,0.348033886,0.138
10,1.011281358,0.550000000,1.057042410,0.349088611,0.151
11,1.003842102,0.550000000,1.054600229,0.350092602,0.164
12,0.996696570,0.550000000,1.052170455,0.351084296,0.177
13,0.989764714,0.550000000,1.050071283,0.351956046,0.190
14,0.983066045,0.550000000,1.047831601,0.352881034,0.202
15,0.976477342,0.550000000,1.045329696,0.353893432,0.215
16,0.970277488,0.550000000,1.043128016,0.354810931,0.228
17,0.964099908,0.550000000,1.041031342,0.355687177,0.241
18,0.958118274,0.550000000,1.038920350,0.356549843,0.254
19,0.952342157,0.550000000,1.036879035,0.357393774,0.266
20,0.946701719,0.550000000,1.034890763,0.358217421,0.279
21,0.941167590,0.550000000,1.032814113,0.359065056,0.292
22,0.935828676,0.550000000,1.030994811,0.359819053,0.305
23,0.930563213,0.550000000,1.029051557,0.360616404,0.318
24,0.925431450,0.550000000,1.027156422,0.361375535,0.331
25,0.920413130,0.550000000,1.025328019,0.362114669,0.344
