epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.400000000,1.087248201,0.337415205,0.024
1,1.093657713,0.450000000,1.083552357,0.338693956,0.043
2,1.084590463,0.500000000,1.080299770,0.339828674,0.063
3,1.075715201,0.550000000,1.077241815,0.340908733,0.082
4,1.067010171,0.550000000,1.074141686,0.341995881,0.102
5,1.058893385,0.600000000,1.071289511,0.343028417,0.120
6,1.050897656,0.550000000,1.068726531,0.343951443,0.140
7,1.043275674,0.550000000,1.066177046,0.344865742,0.157
8,1.036057506,0.550000000,1.063507529,0.345849201,0.174
9,1.029031111,0.550000000,1.060785721,0.346837710,0.192
10,1.022286318,0.550000000,1.057886979,0.347915304,0.210
