root_id	input_group
720575940603231916	0
720575940603464672	0
720575940603985952	0
720575940604352172	0
720575940604407468	0
720575940604431584	1
720575940604911793	1
720575940605102694	0
720575940605309361	0
720575940605400096	1
720575940605421442	1
720575940606590338	1
720575940606649865	0
720575940607439964	0
720575940607687260	1
720575940608199748	0
720575940608293129	0
720575940608628419	1
720575940608845525	0
720575940608898005	0
720575940608970197	1
720575940609447179	1
720575940609454603	1
720575940609460491	0
720575940609891886	0
720575940609903077	1
720575940610048981	0
720575940610052266	0
720575940610070442	1
720575940610100437	1
720575940610505170	0
720575940610511043	1
720575940610752068	1
720575940611022515	0
720575940611079236	1
720575940611352014	1
720575940611372714	1
720575940611703080	0
720575940611849187	1
720575940612031986	0
720575940612197374	1
720575940612284569	0
720575940612433614	0
720575940612468594	0
720575940612699761	0
720575940612856342	0
720575940613050577	1
720575940613058802	0
720575940613167007	0
720575940613203119	0
720575940613345442	1
720575940613347793	1
720575940613419695	0
720575940613579943	0
720575940613613619	1
720575940613655483	0
720575940613809554	0
720575940613864401	1
720575940614009827	0
720575940614309535	1
720575940614316731	1
720575940614714178	1
720575940614727903	1
720575940614871106	1
720575940615160386	1
720575940615366055	0
720575940615394719	1
720575940615594658	1
720575940616020795	1
720575940616079035	0
720575940616566133	1
720575940616824588	1
720575940617179451	0
720575940617207185	0
720575940617229632	1
720575940617343316	1
720575940617381681	1
720575940617642832	0
720575940617668747	0
720575940617781383	0
720575940617903168	1
720575940617917760	0
720575940618277184	1
720575940618295454	0
720575940618308825	0
720575940618461121	0
720575940618499238	1
720575940618800225	0
720575940618865112	0
720575940619071005	1
720575940619280705	0
720575940619337536	0
720575940619385765	0
720575940619411147	1
720575940619456728	0
720575940619531373	0
720575940619620852	0
720575940619637780	0
720575940619766219	1
720575940619807397	0
720575940619838912	1
720575940619895125	1
720575940619902598	0
720575940619928429	1
720575940620068518	1
720575940620103590	1
720575940620189790	1
720575940620199962	1
720575940620233307	0
720575940620266406	0
720575940620437339	0
720575940620445062	0
720575940620465904	0
720575940620467438	0
720575940620551259	0
720575940620595053	1
720575940620638335	0
720575940621103743	0
720575940621123113	0
720575940621185050	0
720575940621203632	0
720575940621239679	0
720575940621256212	1
720575940621316033	0
720575940621333696	1
720575940621529435	1
720575940621533985	1
720575940621696747	1
720575940621753377	0
720575940621817046	1
720575940622070554	0
720575940622287142	0
720575940622311704	1
720575940622364184	1
720575940622368792	1
720575940622448589	0
720575940622574532	0
720575940622726271	0
720575940622734835	1
720575940622762995	1
720575940622785062	1
720575940622811430	0
720575940623137741	0
720575940623237161	0
720575940623264906	1
720575940623287228	1
720575940623303108	0
