task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate,logit_gain
binary,reward,101,2000,1024,0.66992188,0.50351960,1.00000000,0.99609375,0.99555958,1.00000000,0.99617561,62223,131.39424946,2.737419,0.00433767,2000,0.02,12
binary,frozen,101,2000,1024,0.66992188,0.50351960,0.66992188,0.50683594,0.50351960,0.32421875,0.49656694,0,0.00000000,0.733405,0.49656694,2000,0.02,12
binary,shuffled,101,2000,1024,0.66992188,0.50351960,0.00000000,0.02343750,0.02342436,1.00000000,0.98935497,62261,113.20934464,1.370367,0.97684838,2000,0.02,12
binary,reward,102,2000,1024,0.86914062,0.51230309,1.00000000,0.99609375,0.99521008,1.00000000,0.99520799,62261,129.68238584,1.856193,0.00470057,2000,0.02,12
binary,frozen,102,2000,1024,0.86914062,0.51230309,0.86914062,0.53222656,0.51230309,0.12792969,0.48787217,0,0.00000000,0.736969,0.48787217,2000,0.02,12
binary,shuffled,102,2000,1024,0.86914062,0.51230309,0.50000000,0.49218750,0.47867951,0.50000000,0.46081520,62261,97.06312437,1.380221,0.52095547,2000,0.02,12
binary,reward,103,2000,1024,0.50195312,0.49980756,1.00000000,0.99511719,0.99546221,1.00000000,0.99643146,62261,129.44087122,1.853751,0.00440718,2000,0.02,12
binary,frozen,103,2000,1024,0.50195312,0.49980756,0.50195312,0.50585938,0.49980756,0.47949219,0.49986419,0,0.00000000,0.725275,0.49986419,2000,0.02,12
binary,shuffled,103,2000,1024,0.50195312,0.49980756,0.50000000,0.50878906,0.51821541,0.50000000,0.50882009,62261,93.97483233,1.385756,0.48245308,2000,0.02,12
binary,reward,104,2000,1024,0.78515625,0.50708198,1.00000000,0.99609375,0.99603391,1.00000000,0.99661034,62261,130.74527288,1.853245,0.00400323,2000,0.02,12
binary,frozen,104,2000,1024,0.78515625,0.50708198,0.78515625,0.53613281,0.50708198,0.22265625,0.49352772,0,0.00000000,0.734692,0.49352772,2000,0.02,12
binary,shuffled,104,2000,1024,0.78515625,0.50708198,0.00000000,0.02734375,0.02597468,0.00000000,0.02118697,62261,111.57478072,1.349931,0.97397410,2000,0.02,12
binary,reward,105,2000,1024,0.09472656,0.48465164,1.00000000,0.99609375,0.99587038,1.00000000,0.99559665,62215,132.74676731,1.847693,0.00418411,2000,0.02,12
binary,frozen,105,2000,1024,0.09472656,0.48465164,0.09472656,0.47656250,0.48465164,0.89160156,0.51585154,0,0.00000000,0.737180,0.51585154,2000,0.02,12
binary,shuffled,105,2000,1024,0.09472656,0.48465164,1.00000000,0.90429688,0.91626934,0.00000000,0.05544321,62261,104.40655596,1.414332,0.08405528,2000,0.02,12
binary,reward,106,2000,1024,0.03125000,0.47875243,1.00000000,0.99609375,0.99529169,1.00000000,0.99633341,62176,129.97944772,1.852908,0.00471214,2000,0.02,12
