task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate
binary,reward,1,2000,1024,0.97363281,0.55298646,1.00000000,0.99902344,0.99871475,1.00000000,0.99981940,34897,46.39252401,3.761159,0.00129040,10000,0.001
binary,frozen,1,2000,1024,0.97363281,0.55298646,0.97363281,0.55957031,0.55298646,0.02050781,0.44675797,0,0.00000000,2.127722,0.44675797,10000,0.001
binary,shuffled,1,2000,1024,0.97363281,0.55298646,0.00000000,0.01269531,0.01203075,1.00000000,0.99798395,34897,44.74287771,2.136118,0.98810560,10000,0.001
binary,reward,2,2000,1024,0.51171875,0.50210612,1.00000000,0.99804688,0.99933656,1.00000000,0.99974961,35397,52.10215585,2.137904,0.00067438,10000,0.001
binary,frozen,2,2000,1024,0.51171875,0.50210612,0.51171875,0.49707031,0.50210612,0.43457031,0.49630772,0,0.00000000,2.134632,0.49630772,10000,0.001
binary,shuffled,2,2000,1024,0.51171875,0.50210612,0.50000000,0.50097656,0.50020941,0.50000000,0.49994618,35397,41.46311867,2.142979,0.49971343,10000,0.001
binary,reward,3,2000,1024,0.13085938,0.47595227,1.00000000,0.99902344,0.99919422,1.00000000,0.99974434,35994,51.52684327,2.133562,0.00081033,10000,0.001
binary,frozen,3,2000,1024,0.13085938,0.47595227,0.13085938,0.49218750,0.47595227,0.86230469,0.52410152,0,0.00000000,2.149881,0.52410152,10000,0.001
binary,shuffled,3,2000,1024,0.13085938,0.47595227,0.50000000,0.50488281,0.50800809,0.50000000,0.49918520,35994,38.63910747,2.136181,0.49206103,10000,0.001
binary,reward,4,2000,1024,0.35742188,0.49298233,1.00000000,0.99902344,0.99874683,1.00000000,0.99979270,35507,50.03520405,2.141470,0.00124245,10000,0.001
binary,frozen,4,2000,1024,0.35742188,0.49298233,0.35742188,0.49316406,0.49298233,0.68554688,0.50789344,0,0.00000000,2.138418,0.50789344,10000,0.001
binary,shuffled,4,2000,1024,0.35742188,0.49298233,1.00000000,0.92285156,0.90834462,0.00000000,0.00143677,35507,35.46951133,2.144219,0.09250363,10000,0.001
binary,reward,5,2000,1024,0.04687500,0.45578521,1.00000000,0.99902344,0.99884771,1.00000000,0.99974288,35060,50.72583009,2.139119,0.00113392,10000,0.001
binary,frozen,5,2000,1024,0.04687500,0.45578521,0.04687500,0.46386719,0.45578521,0.96679688,0.54461294,0,0.00000000,2.138970,0.54461294,10000,0.001
binary,shuffled,5,2000,1024,0.04687500,0.45578521,0.50000000,0.51367188,0.51546925,0.00000000,0.00311015,35060,39.67079189,2.138082,0.48495546,10000,0.001
binary,reward,6,2000,1024,0.25976562,0.48680304,1.00000000,0.99804688,0.99900818,1.00000000,0.99979058,35623,50.81621927,2.132025,0.00096887,10000,0.001
binary,frozen,6,2000,1024,0.25976562,0.48680304,0.25976562,0.47656250,0.48680304,0.73144531,0.51267906,0,0.00000000,2.127878,0.51267906,10000,0.001
binary,shuffled,6,2000,1024,0.25976562,0.48680304,0.50000000,0.49414062,0.49270797,0.50000000,0.50153171,35623,42.39672974,2.118373,0.50714883,10000,0.001
