epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.315037019,0.099738644,0.244
1,2.307036225,0.088000000,2.315858327,0.099150474,3.122
2,2.296331000,0.090500000,2.311324280,0.099581332,5.956
3,2.291060163,0.107500000,2.309462942,0.099833201,8.794
4,2.287467222,0.088500000,2.309857816,0.099799522,11.650
5,2.285031474,0.110500000,2.306212302,0.100275327,14.504
6,2.283112332,0.095500000,2.308345724,0.100005572,17.359
7,2.281597689,0.097500000,2.309890392,0.099924828,20.227
8,2.280340356,0.094500000,2.311794263,0.099733304,23.083
9,2.279422108,0.103000000,2.312136342,0.099749968,25.873
10,2.278488804,0.100000000,2.310616097,0.099877964,28.656
