epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.315037019,0.099738644,0.241
1,1.958249881,0.810500000,1.790847137,0.171722779,3.669
2,1.755340292,0.825500000,1.702073196,0.189021243,7.224
3,1.696923387,0.833000000,1.663349236,0.197046118,10.805
4,1.667748530,0.835000000,1.642894824,0.201530527,14.429
5,1.650402726,0.837500000,1.629551796,0.204548972,18.052
6,1.638169387,0.838000000,1.619803799,0.206893141,21.674
7,1.630633234,0.842500000,1.611722464,0.208586091,25.309
8,1.624803683,0.843000000,1.608161828,0.209356304,28.933
9,1.619819799,0.839000000,1.604436893,0.210323521,33.007
10,1.617329093,0.842000000,1.601494366,0.210969944,36.958
11,1.613514193,0.839500000,1.599816318,0.211459014,40.615
12,1.611875948,0.841500000,1.597894181,0.211810668,44.265
13,1.609972125,0.840500000,1.597198598,0.211881599,47.881
