epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.095500000,2.311541316,0.099676393,0.241
1,2.128694307,0.523500000,2.011346638,0.144607617,2.624
2,1.975580173,0.548000000,1.928380753,0.162142311,5.018
3,1.919374233,0.563500000,1.888896921,0.171297886,7.431
4,1.889507605,0.568000000,1.862920029,0.176855386,9.858
5,1.868808162,0.567500000,1.847037341,0.181537685,12.274
6,1.855179367,0.574500000,1.835628180,0.184244686,14.697
7,1.844059917,0.571500000,1.827222502,0.187423789,17.122
8,1.836608129,0.570500000,1.818797923,0.189965558,19.549
9,1.830781397,0.572500000,1.812102872,0.191950253,21.975
10,1.822619633,0.569500000,1.810080576,0.193504318,24.402
11,1.821012769,0.568500000,1.801887587,0.195527245,26.824
