epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.102000000,2.323832971,0.099014422,0.241
1,1.922231024,0.728000000,1.730229827,0.186216748,3.091
2,1.688882933,0.729000000,1.622929225,0.209690755,6.067
3,1.619325113,0.732500000,1.572755853,0.221707251,9.046
4,1.582122208,0.738000000,1.547021986,0.227923674,12.027
5,1.559757993,0.739000000,1.527046245,0.233331029,15.015
6,1.544132382,0.736000000,1.512354409,0.237305763,18.007
7,1.533777378,0.742000000,1.502834153,0.239630794,21.933
8,1.525204432,0.741500000,1.496271817,0.241434947,25.290
9,1.518761148,0.746500000,1.489671415,0.243044042,28.283
10,1.513210096,0.744000000,1.485721057,0.244253158,31.271
11,1.509457365,0.742500000,1.481886556,0.245257198,34.271
12,1.506712020,0.744000000,1.477501481,0.246645257,37.253
13,1.503763149,0.744000000,1.474968013,0.247261978,40.266
14,1.501486280,0.745500000,1.473924017,0.247557983,43.283
