epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.137000000,2.294932669,0.101372876,0.244
1,1.849853441,0.680000000,1.633662477,0.215645987,2.689
2,1.591848068,0.706500000,1.519065136,0.245537025,5.185
3,1.517957739,0.714000000,1.466964824,0.260379733,7.593
4,1.478671530,0.724000000,1.433345948,0.270759165,10.098
5,1.453459853,0.730500000,1.412612776,0.277687211,12.488
6,1.436155076,0.734500000,1.401107635,0.281462061,14.950
7,1.423746924,0.734500000,1.389832665,0.285679825,17.443
8,1.415335735,0.733500000,1.379303191,0.289690681,19.996
9,1.407189009,0.739000000,1.371390634,0.292475718,22.388
10,1.400823255,0.731500000,1.368260933,0.294277739,24.898
11,1.397286885,0.735500000,1.360750162,0.296778038,27.370
12,1.391868471,0.738000000,1.358879769,0.297047720,29.840
13,1.388959577,0.737000000,1.354630986,0.299636381,32.306
14,1.387363829,0.738000000,1.350178834,0.300551179,34.777
